證券代碼,年月日,收盤價(元),收盤價(元)_週
3008 大立光,2006/2/17,605,413.95
3045 台灣大,2006/2/17,29.4,18.54
4904 遠傳,2006/2/17,39.35,22.02
6505 台塑化,2006/2/17,58.3,32.26
9904 寶成,2006/2/17,23.05,10.21
0050 元大台灣50,2006/2/24,52.05,33.08
1101 台泥,2006/2/24,24.6,11.25
1102 亞泥,2006/2/24,22,8.27
1216 統一,2006/2/24,18.5,7.34
1301 台塑,2006/2/24,51.7,23.41
1303 南亞,2006/2/24,46.5,22.44
1402 遠東新,2006/2/24,24.5,11.16
2002 中鋼,2006/2/24,29.05,11.83
2105 正新,2006/2/24,24.2,5.79
2301 光寶科,2006/2/24,43.3,23.02
2303 聯電,2006/2/24,19.05,13.31
2308 台達電,2006/2/24,72.8,35.68
2317 鴻海,2006/2/24,202.5,47.88
2327 國巨,2006/2/24,12.3,30.17
2330 台積電,2006/2/24,61,33.59
2354 鴻準,2006/2/24,158.5,50.64
2357 華碩,2006/2/24,92.4,140.18
2382 廣達,2006/2/24,49.2,21.16
2395 研華,2006/2/24,90,34.99
2408 南亞科,2006/2/24,19.5,361.58
2409 友達,2006/2/24,53.1,31.75
2412 中華電,2006/2/24,59.2,31.74
2454 聯發科,2006/2/24,328,152.15
2474 可成,2006/2/24,249,79.36
2492 華新科,2006/2/24,28.8,22.4
2801 彰銀,2006/2/24,18.75,8.82
2823 中壽,2006/2/24,11.25,3.98
2880 華南金,2006/2/24,22.7,8.62
2881 富邦金,2006/2/24,29.4,15.71
2882 國泰金,2006/2/24,62.5,31.45
2883 開發金,2006/2/24,12.2,6.8
2884 玉山金,2006/2/24,21.95,7.72
2885 元大金,2006/2/24,12.3,7.67
2886 兆豐金,2006/2/24,24.55,11.94
2887 台新金,2006/2/24,19.85,9.38
2890 永豐金,2006/2/24,17.5,8.42
2891 中信金,2006/2/24,27,9.09
2892 第一金,2006/2/24,25,9.01
2912 統一超,2006/2/24,71.9,40.04
3008 大立光,2006/2/24,589,403.01
3045 台灣大,2006/2/24,29.95,18.89
4904 遠傳,2006/2/24,40.3,22.55
6505 台塑化,2006/2/24,58.2,32.2
9904 寶成,2006/2/24,23.1,10.23
0050 元大台灣50,2006/3/3,52.05,33.08
1101 台泥,2006/3/3,26,11.89
1102 亞泥,2006/3/3,21.65,8.14
1216 統一,2006/3/3,19.4,7.69
1301 台塑,2006/3/3,51,23.09
1303 南亞,2006/3/3,45.9,22.15
1402 遠東新,2006/3/3,23.7,10.79
2002 中鋼,2006/3/3,28.8,11.73
2105 正新,2006/3/3,24.6,5.88
2301 光寶科,2006/3/3,42.9,22.81
2303 聯電,2006/3/3,19.55,13.66
2308 台達電,2006/3/3,75.4,36.96
2317 鴻海,2006/3/3,205,48.47
2327 國巨,2006/3/3,12.35,30.29
2330 台積電,2006/3/3,61.8,34.03
2354 鴻準,2006/3/3,179.5,57.35
2357 華碩,2006/3/3,92.8,140.79
2382 廣達,2006/3/3,49.5,21.29
2395 研華,2006/3/3,86.5,33.63
2408 南亞科,2006/3/3,19.2,356.02
2409 友達,2006/3/3,51.2,30.61
2412 中華電,2006/3/3,59.2,31.74
2454 聯發科,2006/3/3,341.5,158.41
2474 可成,2006/3/3,277.5,88.44
2492 華新科,2006/3/3,30.7,23.87
2801 彰銀,2006/3/3,18.55,8.73
2823 中壽,2006/3/3,11,3.89
2880 華南金,2006/3/3,22.85,8.68
2881 富邦金,2006/3/3,29,15.49
2882 國泰金,2006/3/3,61,30.7
2883 開發金,2006/3/3,12.1,6.75
2884 玉山金,2006/3/3,22.15,7.79
2885 元大金,2006/3/3,11.9,7.42
2886 兆豐金,2006/3/3,24,11.67
2887 台新金,2006/3/3,19.4,9.17
2890 永豐金,2006/3/3,16.75,8.06
2891 中信金,2006/3/3,26.5,8.92
2892 第一金,2006/3/3,24.8,8.94
2912 統一超,2006/3/3,69.2,38.54
3008 大立光,2006/3/3,620,424.22
